FlareLabel,Prediction,PredictionProbability
0,0,0.025135576725006104
0,0,0.020456373691558838
0,0,0.027549028396606445
0,0,0.02260410785675049
0,0,0.028230488300323486
0,0,0.024477005004882812
0,0,0.026530325412750244
0,0,0.027220308780670166
0,0,0.023130953311920166
0,0,0.029488980770111084
0,0,0.02498602867126465
0,0,0.026003539562225342
0,0,0.02530151605606079
0,0,0.021848678588867188
0,0,0.020495712757110596
0,0,0.021408438682556152
0,0,0.02456653118133545
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.021342575550079346
0,0,0.017634689807891846
0,0,0.021599173545837402
0,0,0.023708641529083252
0,0,0.02565973997116089
0,0,0.021296799182891846
0,0,0.02516353130340576
0,0,0.019263267517089844
0,0,0.029488861560821533
0,0,0.026406049728393555
0,0,0.013153374195098877
0,0,0.03530561923980713
0,0,0.02292501926422119
0,0,0.021121501922607422
0,0,0.019623398780822754
0,0,0.02450263500213623
0,0,0.018992602825164795
0,0,0.016897082328796387
0,0,0.02357858419418335
0,0,0.012082278728485107
0,0,0.011514782905578613
0,0,0.01305234432220459
0,0,0.014053761959075928
0,0,0.013883650302886963
0,0,0.015634894371032715
0,0,0.015962600708007812
0,0,0.013454079627990723
0,0,0.015801966190338135
0,0,0.01602327823638916
0,0,0.015124261379241943
0,0,0.023565173149108887
0,0,0.014898061752319336
0,0,0.030053317546844482
0,0,0.017943918704986572
0,0,0.027501225471496582
0,0,0.024424731731414795
0,0,0.01962798833847046
0,0,0.030838310718536377
0,0,0.026369690895080566
0,0,0.02312183380126953
0,0,0.011829137802124023
0,0,0.017239034175872803
0,0,0.03302407264709473
0,0,0.02299588918685913
0,0,0.022875964641571045
0,0,0.04131495952606201
0,0,0.044394850730895996
0,0,0.05226147174835205
0,0,0.03896820545196533
0,0,0.018069207668304443
0,0,0.03182363510131836
0,0,0.03462362289428711
0,0,0.03931140899658203
0,0,0.037494957447052
0,0,0.033165156841278076
0,0,0.05236673355102539
0,0,0.030205845832824707
0,0,0.04848885536193848
0,0,0.03236597776412964
0,0,0.055457353591918945
0,0,0.05190682411193848
0,0,0.0603640079498291
0,0,0.028777360916137695
0,0,0.05514681339263916
0,0,0.0527118444442749
0,0,0.02776181697845459
0,0,0.030978918075561523
0,0,0.07978987693786621
0,0,0.060527503490448
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.06184571981430054
0,0,0.02607792615890503
0,0,0.04327249526977539
0,0,0.033340394496917725
0,0,0.030284523963928223
0,0,0.018904268741607666
0,0,0.02516627311706543
0,0,0.02463918924331665
0,0,0.04757875204086304
0,0,0.02873939275741577
0,0,0.02660071849822998
0,0,0.0506632924079895
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.013153374195098877
0,0,0.12822610139846802
0,0,0.04117274284362793
0,0,0.02534961700439453
0,0,0.0400700569152832
0,0,0.0433802604675293
0,0,0.02714383602142334
0,0,0.0393679141998291
0,0,0.024278461933135986
0,0,0.029210686683654785
0,0,0.08371502161026001
0,0,0.04263460636138916
0,0,0.10487359762191772
0,0,0.05636483430862427
0,0,0.026993989944458008
0,0,0.024313509464263916
0,0,0.03347808122634888
0,0,0.039693474769592285
